filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,Metal 1,Percent 1,Metal 2,Percent 2,Hydrophobic / Hydrophilic
ABEMIF_clean,11.25251,6.80253,11.25251,1.15199,1273.12,1105.15,476.471,413.607,0.6464,0.561117,0,Yes,Cu,0.150950298,Cu,0.150950298,0
ac403674p_si_001_clean,8.50423,8.27985,8.50423,1.12072,1220.76,1089.26,0,0,0.5906,0.526983,0,No,Zn,0.089179516,Zn,0.089179516,0
ADOBAX_charged,5.54673,3.76596,5.40967,1.63796,473.584,289.129,302.973,184.969,0.4676,0.285476,0,No,Mn,0.050100717,V,0.371648571,0
ADOBEB_charged,5.50949,3.76943,5.39841,1.63796,473.912,289.33,302.371,184.601,0.4672,0.285232,0,No,Mn,0.050100717,V,0.371648571,0
ADOBOL_charged,5.48974,3.85295,5.48822,1.71617,456.212,265.831,117.606,68.528,0.454,0.264542,0,No,V,0.370299431,Co,0.053548993,0
ADOBUR_charged,5.46006,3.86825,5.45816,1.70055,447.493,263.145,230.14,135.332,0.456,0.268148,0,Yes,V,0.373169916,Ni,0.053744519,0
ADOCAY_charged,5.42744,3.86629,5.34035,1.70055,445.108,261.743,229.886,135.183,0.4564,0.268383,0,Yes,V,0.373169916,Ni,0.053744519,0
ADOCIG_charged,5.38376,3.83937,5.38376,1.74701,444.689,254.543,241.736,138.371,0.4538,0.259758,0,Yes,V,0.363046335,Ni,0.052286505,0
ALICEE_clean,8.89229,8.87656,8.89229,1.69743,1244,732.874,0,0,0.594,0.349942,0,Yes,Cu,0.291713083,Cu,0.291713083,0
ALICII_clean,9.46461,9.44604,9.46461,1.508,1380.75,915.616,0,0,0.6294,0.417375,0,Yes,Cu,0.291713083,Cu,0.291713083,0
am301365h_si_002_clean,11.58637,3.48934,11.58637,0.907013,1494.34,1647.54,0,0,0.6382,0.703628,0,No,Zn,0.14238301,Zn,0.14238301,0
AMAFOK_clean,6.60314,5.66314,6.60314,1.49249,870.16,583.026,0,0,0.4392,0.294274,0,Yes,Cu,0.102583557,Cu,0.102583557,0
AMAFUQ_clean,6.75078,5.80845,6.73622,1.48103,921.285,622.056,0,0,0.4398,0.296955,0,Yes,Cu,0.102583557,Cu,0.102583557,0
AMAGAX_clean,6.93247,6.0951,6.93247,1.45916,960.382,658.174,0,0,0.4598,0.315113,0,Yes,Cu,0.102583557,Cu,0.102583557,0
AMEJIM_charged,7.39023,3.15795,6.9556,1.25739,0,0,915.403,728.018,0.5066,0.402898,0,Yes,Fe,0.037674026,Cu,0.257215542,0
AMIKOX_clean,3.46941,2.69518,3.46727,1.4673,0,0,15.7447,10.7304,0.4072,0.277517,0,No,Cd,0.102611334,Cd,0.102611334,0
AMUCOB_clean,4.03891,3.31743,4.03891,1.59335,139.729,87.695,0,0,0.3372,0.21163,0,No,Ca,0.117753868,Ca,0.117753868,0
